z=1	z=5	z=10	z=20	z=30	z=60	
1968.5124118704591	2306.3999013084626	2609.2521782055082	3176.6875149542375	3660.837030603597	6289.542722398352	
2006.6530866908902	2367.509093737967	2675.4097067436883	3255.0310776188926	3739.7277810499754	6317.587184919062	
2044.8696267258483	2428.8892736074667	2741.5038427318723	3317.9212150650255	3818.475593600874	6345.710226598844	
2083.072901414538	2489.9706012922175	2807.7079544450467	3376.7035432360376	3897.3087279758147	6373.7931908717055	
2121.006622700749	2539.439108744192	2873.680429555327	3435.526318456573	3975.890465687191	6401.867188450054	
2159.446912363335	2582.691953908626	2939.4228166556923	3494.1672463906707	4054.66189840545	6429.956009297045	
2197.8967776578465	2625.705826442128	2999.2478562160545	3552.85207575742	4133.370794744043	6458.044439118245	
2235.8779234871567	2668.5647033932755	3048.633955495954	3611.6203782519137	4212.1597548490645	6486.11095938606	
2273.74750917027	2711.5571186797024	3088.679339810205	3670.287714960729	4291.0316258002385	6514.152883050779	
2312.081169508465	2754.8223994456616	3128.518658395762	3728.870819433715	4342.0068465607865	6542.2779913313	
2350.250330146801	2797.9099486105674	3168.5197624001257	3787.5534565904104	4390.122100422515	6570.3122495246025	
2385.8943277700578	2841.1073296266795	3208.4289949424256	3846.2879407906466	4438.360944026167	6598.467524982716	
2415.594387531205	2884.4113092865523	3248.4455019628062	3904.9747985044605	4486.626604820912	6626.568148932164	
2445.2377014960675	2918.139564570389	3288.3584942663065	3963.672740130657	4534.947336371819	6654.627128105938	
2474.976911744456	2947.8191490747763	3328.3259680620977	4022.3130520428326	4583.22471047753	6682.704053883596	
2504.6603015103624	2977.427811124	3368.2546536671766	4064.143466840404	4631.531768962542	6710.811653244817	
2534.3618239050948	3007.03435463471	3408.170117430998	4097.311212778297	4679.861083427676	6738.837800360012	
2564.0454945857327	3036.7006126185365	3448.1451454906874	4130.497074954515	4728.10126828353	6766.918064512546	
2593.576157952595	3066.4520907781657	3488.129300348468	4163.634401112656	4776.269500726567	6794.989931700431	
2623.1677172440063	3096.2212622728957	3528.2712786737493	4196.933463020841	4824.632658364292	6823.066846304035	
2652.817989015162	3126.047803678635	3568.4507670029434	4230.241026709893	4872.896949163875	6851.084713893497	
2682.4774455453276	3155.7045231003563	3608.630910957866	4263.48520027284	4921.246508010499	6879.238023079353	
2712.0716358604327	3185.485327308918	3648.604871222661	4296.7846013511635	4969.445105965182	6907.366276178486	
2741.825798783973	3215.1946258268476	3688.554346500488	4330.142653324782	5017.672642256081	6935.416289500713	
2771.4888819278567	3244.9939088014635	3728.570650951251	4363.468963885734	5065.927233727033	6963.494168905817	
2801.4291931568214	3274.537420010503	3768.48790936319	4396.923122941455	5114.137287535708	6991.557606097557	
2831.098851611994	3304.34445489436	3808.4631343047645	4430.111806844767	5162.414363380862	7019.662958316823	
2856.9059885321044	3333.968443117824	3848.5350514335837	4463.468714559895	5210.6450439844675	7047.781016373247	
2876.99709486695	3363.5712279281856	3888.3876660594206	4496.763879777778	5258.8647150900915	7075.889124329796	
2897.0802528607715	3393.180296760345	3928.2670258756816	4530.087745011012	5307.205647416962	7103.93304347479	
2917.185878981685	3422.8916362164027	3968.2388406103946	4563.40673527393	5355.402173836749	7132.052631194663	
2937.439591827878	3452.545212079881	4008.2795285144784	4596.611631759091	5403.566737343211	7160.052577729592	
2957.6927305785857	3482.171453843569	4045.9869964600634	4629.882532330962	5451.772295209621	7188.126435321013	
2977.9151797671975	3511.903613238558	4068.784169111576	4663.157290930227	5500.130143883233	7216.228106213229	
2997.9837836030856	3541.6650927477526	4091.503064357599	4696.513668713938	5548.400574018013	7244.309708821793	
3018.200857381615	3571.3008960164566	4114.224312210583	4729.7038798559515	5596.478870957698	7272.434865864326	
3038.369674186961	3600.9606058980635	4136.977282907544	4762.895393846069	5644.751481253184	7300.46145976852	
3058.5439460717375	3630.6098398895147	4159.5775541784815	4796.254306148809	5692.886873980189	7328.5577373731385	
3078.670133760359	3660.299476775095	4182.299100356374	4829.469086419607	5741.15286529848	7356.691086561683	
3098.6801604310244	3689.9972999952574	4204.8966327756625	4862.773721396629	5789.3932265086305	7384.771895295619	
3118.8971813744256	3719.752157317239	4227.570557039429	4896.05448195245	5837.814342764435	7412.877483726335	
3139.0811798947416	3749.519010818804	4250.29395186289	4929.345411897221	5886.174895755408	7441.032357205332	
3159.160443860754	3779.1652600395296	4272.9766696762845	4962.749052943988	5934.375881565795	7469.151563357668	
3179.1939222569777	3808.748004846067	4295.654670424711	4995.939349962969	5982.765688039883	7497.235782162616	
3199.427438763146	3838.5057379639047	4318.2801354624635	5029.268690692093	6031.183263956492	7525.338483175916	
3219.6438432483938	3868.2245346937284	4341.011403344434	5062.537425856745	6079.221599584412	7553.469616158429	
3239.884041593394	3897.930469956199	4363.760220027672	5095.840074751461	6127.400377991252	7581.60251412852	
3260.024466082773	3927.706283551508	4386.396731891458	5129.038812403948	6175.6091704561395	7609.711466656542	
3280.1685563882365	3953.584656971331	4409.110105933317	5162.335231056126	6223.735960106621	7637.792199373138	
3300.4169832359466	3969.8158890127625	4431.765445444611	5195.525194548525	6271.923605971913	7665.8522295846415	
3320.5213990162492	3986.1241853900456	4454.475075355051	5228.834002038454	6320.460164913804	7693.895335972271	
3340.7027305453908	4002.420021726711	4477.1984359627	5262.106426856144	6368.665776341676	7721.981353080663	
3360.9080427988683	4018.6577094521454	4499.89769084775	5295.360212414559	6417.009362563434	7750.023844523679	
3381.1809976962154	4034.999833721695	4522.672941735163	5328.618143767762	6465.34102097387	7778.091091686785	
3401.2124505597158	4051.347269563266	4545.345861080609	5361.925364786664	6513.5062926532755	7806.140595209493	
3421.4409867317963	4067.5956423206267	4568.0831296939	5395.125863618119	6561.7352750990785	7834.241892043422	
3441.5525405065596	4083.801148594142	4590.6185798611605	5428.398532705751	6609.950975384853	7862.356705067367	
3461.729190289662	4099.987032077845	4613.334109635871	5461.689342138586	6657.991090199738	7890.396639192948	
3481.8253949291097	4116.2955255484285	4636.059972811227	5494.803114421441	6706.040457585914	7918.455867253709	
3502.026298455623	4132.587094473255	4658.847494114566	5528.169431169596	6743.248525467306	7946.58120451474	
3519.5840195613373	4148.853097750384	4681.5006484437545	5561.3820330445105	6756.69039928271	7974.6641102229	
3528.3172817141	4165.096291231538	4704.130710545024	5594.682508357184	6770.076776550015	8002.724845751681	
3537.079540184989	4181.4360382304985	4726.8794229335745	5628.109505432619	6783.514175676905	8030.733760865856	
3545.778199122163	4197.752118327052	4749.501418718217	5661.311356473673	6796.926157422498	8058.855524346347	
3554.473681340335	4214.077534866892	4772.211471507667	5694.681612747876	6810.368274201214	8086.96784046946	
3563.129485577594	4230.339700437062	4794.8749765443135	5727.881921794039	6823.783081912485	8115.010338703849	
3571.819958169034	4246.639183801622	4817.6283428347815	5761.060931473707	6837.168199991282	8143.071335342051	
3580.518110279937	4262.981233421685	4840.337514746972	5794.302713092709	6850.562036599545	8171.089445680809	
3589.2138743018213	4279.280359791985	4863.145457210291	5827.728405172173	6863.987790838682	8199.106495897384	
3597.890252765354	4295.643781699547	4885.951365564133	5860.907441736731	6877.415963546757	8227.162843023714	
3606.588416946275	4311.9739181221175	4908.720095999589	5894.089000911197	6890.812127889923	8255.185992580911	
3615.357962144778	4328.194054936415	4931.45650765394	5927.381629566299	6904.2348537363005	8283.211415776697	
3624.030469428449	4344.436474014836	4954.226462707822	5960.584260664179	6917.6011155377255	8311.325106749411	
3632.7216472945142	4360.704837997378	4976.951804955807	5993.739881883885	6931.014501772583	8339.472633228108	
3641.4633500875207	4376.977944098778	4999.651534722034	6026.984532278252	6944.454908934767	8367.526415739461	
3650.1280033428147	4393.252223722349	5022.2479341230965	6060.191458485565	6957.85766597293	8395.583488337152	
3658.8118225830276	4409.4729738304995	5044.958128894416	6093.531214413432	6971.265979164024	8423.67044945754	
3667.591212569492	4425.718094285147	5067.579911413975	6126.828056075525	6984.644368692333	8451.691158797063	
3676.260323144125	4441.974783976223	5090.257521359914	6159.986178141425	6998.047387870995	8479.72141242914	
3684.9606983106737	4458.2526318877	5112.896919023782	6193.325055894484	7011.449727874628	8507.814129543518	
3693.6720958415453	4474.5140856114585	5135.70636705297	6226.726290257773	7024.83158818062	8535.877383369083	
3702.3199134817946	4490.743000145121	5158.370471033656	6259.9491147868775	7038.241703924392	8563.932408001134	
3710.9588544994676	4507.051491928977	5180.978876329593	6293.301708369698	7051.6330654122885	8592.008026112138	
3719.6199513347983	4523.323292466298	5203.737861945211	6326.436722850477	7065.084626052966	8620.111780862533	
3728.3403002282516	4539.608644841193	5226.624080546785	6359.749386209638	7078.491495531318	8648.183508472313	
3737.0289352267537	4555.863626711715	5249.311477643815	6392.975429227948	7091.893583514774	8676.212716512238	
3745.730622597796	4572.140593338715	5271.991818754972	6426.20071007024	7105.287717268254	8704.300861333684	
3754.4264785302066	4588.508989860709	5294.766329581232	6459.638133674185	7118.737797620928	8732.33968044538	
3763.105297910006	4604.714393160843	5317.439241436939	6492.913636239569	7132.132705879628	8760.320210684456	
3771.7685678899643	4620.943181816509	5340.072459014041	6522.73467335829	7145.51515776663	8788.365107026992	
3780.5028299681667	4637.255656712617	5362.786524138604	6530.583658477026	7158.9096550584545	8816.414487751768	
3789.1973400604174	4653.541599390415	5385.495971132478	6538.412019557421	7172.299884465902	8844.44561792467	
3797.8955203782757	4669.8195328684105	5408.160301438345	6546.290419193703	7185.70361663225	8872.558250379785	
3806.574814203893	4686.119274843123	5430.89725569147	6554.103176816909	7199.071644993618	8900.680666144937	
3815.262410848087	4702.395640967095	5453.647522825906	6561.961826442755	7212.480674160688	8928.795008660885	
3823.9302982437694	4718.733947640089	5476.3806135769955	6569.810542700057	7225.864014278541	8956.77612738219	
3832.614374576681	4734.98280911813	5499.135501727711	6577.683015410772	7239.256125763575	8984.85869186885	
3841.306986575347	4751.30978902209	5521.858541365634	6585.53618897865	7252.644002012393	9012.921820700283	
3850.013948922345	4767.519063298123	5544.56875039357	6593.397011353938	7266.0502485939	9040.989030039682	
3858.6938145992444	4783.820037228775	5567.287617590724	6601.2485256024065	7279.451637309675	9069.03982611817	
3867.373195605564	4800.155573325082	5589.991118839132	6609.121913966769	7292.841128887965	9097.166087426453	
3876.110006014871	4816.460729469492	5612.681483462436	6616.969470517078	7306.263296639862	9125.242203740974	
3884.8310838222533	4832.774808974246	5635.406058103915	6624.830784067099	7319.719151565004	9153.334652328329	
3893.5747534193215	4849.093510668976	5658.130699993377	6632.680115075979	7333.124046881045	9181.37367398386	
3902.2698491009783	4865.378355186605	5680.792687475754	6640.502434411927	7346.4690499059725	9209.512698324477	
3911.0255063182212	4881.700136271466	5703.490024040822	6648.346499849529	7359.876866921676	9237.632938951987	
3919.7387699915594	4897.953921220421	5726.292352143963	6656.16995275591	7373.220314038459	9265.71187742907	
3928.4665169572277	4914.271238239347	5749.048254233061	6664.006431010101	7386.620038648085	9293.79001465014	
3937.1403769611256	4930.548271679903	5771.743393144833	6671.850573688316	7400.009614505951	9321.889772072402	
3945.8267194760597	4946.795808193156	5794.53193228877	6679.673781695105	7413.4199019668085	9349.977953540414	
3954.563410858848	4963.1189357912435	5817.264868061913	6687.527786413464	7426.841692229966	9378.053284519901	
3963.2248184614964	4979.374773623542	5839.877143520107	6695.384795681733	7440.277484989542	9406.180436454137	
3971.929498872389	4995.636545397528	5862.566393916521	6703.262898334056	7453.707440303586	9434.18730519738	
3980.566723921105	5011.895189732834	5885.251325533488	6711.082423924194	7467.106772546391	9462.284087267233	
3989.30065203294	5028.106148375865	5907.9090191347095	6718.942248587044	7480.538920927409	9490.369097910949	
3997.969018005745	5044.3645905426465	5930.563323139096	6726.787725569218	7493.982012714423	9518.469693433148	
4006.6939642754796	5060.7119139415645	5953.224448043211	6734.641957143151	7507.392669756716	9546.600259766985	
4015.3812492560646	5076.970309264423	5975.908810267626	6742.477952252243	7520.843381407627	9574.647421390955	
4024.0865727642145	5093.218313899251	5998.684831957409	6750.325417275367	7534.199822941961	9602.718116932778	
4032.774489533886	5109.544273216836	6021.317610628788	6758.199900001837	7547.610985286101	9630.79959654159	
4041.458233559761	5125.793927442318	6043.984958686486	6766.073617085467	7561.001635450383	9658.888604910398	
4050.120937119082	5142.026950083324	6066.748927418789	6773.924408990505	7574.409101905228	9686.9307155036	
4058.776130009169	5158.254201253923	6089.483578613473	6781.76790927046	7587.829799432251	9715.075740983866	
4067.4494622375005	5174.551669307139	6112.174023657258	6789.610341112879	7601.229517272971	9743.173548713228	
4076.1121295762973	5190.872309943871	6134.860881546253	6797.476693573073	7614.646227953143	9771.27686533893	
4084.8158160249773	5207.046591262288	6157.542353972572	6805.359872907711	7628.044348302829	9799.367262135573	
4093.5256748203888	5223.342066279623	6180.243162744563	6813.230668285112	7641.458646791291	9827.401367291262	
4102.206026709336	5239.667917422575	6202.9485296573375	6821.060700089757	7654.868682177853	9855.433689551188	
4145.674039296166	5321.060345669414	6316.573529210977	6860.309312126601	7721.889485291926	9995.948011449296	
4189.185129244516	5402.370846792457	6430.110023459786	6899.552617212039	7788.978516029731	10136.343042007247	
4232.777039196442	5483.835214664743	6543.44038487253	6938.779343653843	7855.960138856373	10276.83544718419	
4276.1771390848235	5565.2291505668345	6656.94527196238	6978.0296674141555	7923.010904718929	10417.096057716537	
4319.676696073968	5646.6641214804	6770.520179073012	7017.320597447656	7990.027644236741	10557.464294972384	
4363.108269021008	5728.268172754885	6866.520339194734	7056.482270308062	8057.121448376453	10697.77242752661	
4406.570935775176	5809.55535164873	6900.490038488591	7095.727709861797	8124.201498264296	10838.230484541844	
4450.187815345216	5890.879870760029	6934.450873495128	7134.973778984097	8191.277754273686	10978.554794317679	
4493.5640306943	5972.200780639338	6968.421977448638	7174.233272050094	8258.278766078656	11118.960303391219	
4537.057518276237	6053.728698296745	7002.393600596687	7213.460177547579	8325.284947477176	11259.537834114011	
4580.556587426231	6135.082075644995	7036.374423824512	7252.715167278208	8392.339783213183	11399.89732511533	
4623.983615691492	6216.41786843147	7070.330948103907	7291.938838528813	8459.369501220888	11540.333440831346	
4667.323669213803	6297.696265518298	7104.295016354213	7331.109588597065	8526.434216073656	11680.706230029915	
4710.710353147663	6379.146259156309	7138.254828879452	7370.333924630658	8593.430502642579	11821.096804514567	
4754.194783176254	6460.6243581780545	7172.255936886931	7409.642590610106	8660.585163184987	11961.382410896294	
4797.655153114967	6542.0891935196105	7206.230211191494	7448.91561582079	8727.615924380661	12101.912399680348	
4841.061739807057	6623.431407668836	7240.194028024428	7488.130064549925	8794.713711540362	12242.387586708099	
4884.6149602600035	6704.933066619972	7274.174892479055	7527.397519088748	8861.738634775073	12382.766547303721	
4928.05369481936	6786.291180168227	7308.157275443768	7566.689712584009	8928.838446159774	12523.151627710577	
4971.541661395052	6867.583933227749	7342.103720419959	7605.919817711243	8995.952574800132	12663.624859518948	
